Max_Tem,Avg_Tem,Avg_S_Pressure,Avg_Visibility,Max_Wind,Max_SWind,Avg_Wind,Sum_Rain,heat_wave_strength,week_index,Avg_humudity,Week_ending
73.9,50.97142857142857,19.285714285714285,9.414285714285715,999.9,22.9,9.557142857142855,0.32,0,1,2.1648733639133266,2014-01-11
73.9,53.92857142857144,17.071428571428573,10.0,999.9,18.1,5.585714285714286,0.24,0,2,1.7986817154891284,2014-01-18
77.0,48.57142857142857,20.114285714285717,9.271428571428572,999.9,22.9,6.728571428571428,0.38,0,3,2.0151054771744477,2014-01-25
73.0,50.9,14.971428571428575,9.87142857142857,999.9,17.1,8.028571428571428,0.05,0,4,2.111834565303178,2014-02-01
73.0,43.88571428571429,17.585714285714285,7.885714285714286,999.9,18.1,8.214285714285714,0.52,0,5,2.3154261089064585,2014-02-08
78.1,48.92857142857143,14.528571428571428,7.871428571428573,999.9,17.1,7.014285714285713,0.68,0,6,2.2512260095810612,2014-02-15
80.1,65.25714285714285,12.314285714285713,9.742857142857142,999.9,19.0,7.014285714285714,0.06,0,7,2.372892234260941,2014-02-22
82.9,59.199999999999996,12.257142857142858,7.071428571428571,999.9,20.0,6.1000000000000005,1.1300000000000001,0,8,2.5327727751086684,2014-03-01
82.9,48.9,15.242857142857144,9.6,999.9,21.0,8.242857142857142,1.11,0,9,2.3438324570922036,2014-03-08
75.0,59.17142857142858,13.914285714285715,9.328571428571427,999.9,22.9,7.228571428571428,0.54,0,10,2.2987457014356436,2014-03-15
81.0,62.814285714285724,10.228571428571428,9.171428571428573,999.9,22.0,6.814285714285715,0.56,0,11,2.3213693846404917,2014-03-22
84.9,62.8,13.757142857142856,8.528571428571428,999.9,21.0,7.6428571428571415,0.26,0,12,2.402155963226298,2014-03-29
84.0,68.44285714285714,11.414285714285713,9.528571428571428,999.9,24.1,9.228571428571428,0.0,0,13,2.3637652779548923,2014-04-05
82.9,65.45714285714287,12.042857142857143,9.585714285714285,999.9,22.0,8.442857142857141,0.04,0,14,2.2324360723994134,2014-04-12
82.9,62.857142857142854,13.857142857142858,9.62857142857143,33.0,22.0,8.371428571428572,1.52,0,15,2.3170561117930766,2014-04-19
88.0,73.22857142857143,10.771428571428572,9.457142857142857,999.9,15.9,5.628571428571428,0.0,0,16,2.5173392796061234,2014-04-26
91.9,72.07142857142857,150.77142857142857,9.671428571428573,999.9,19.0,7.1571428571428575,0.0,0,17,2.002043892426861,2014-05-03
88.0,74.64285714285714,10.085714285714285,9.728571428571428,35.0,26.0,8.828571428571427,0.37,0,18,2.416413203450781,2014-05-10
87.1,71.52857142857142,13.228571428571428,9.571428571428571,999.9,26.0,9.642857142857142,4.03,0,19,2.367414466812246,2014-05-17
