Max_Tem,Avg_Tem,Avg_S_Pressure,Avg_Visibility,Max_Wind,Max_SWind,Avg_Wind,Sum_Rain,heat_wave_strength,week_index,Avg_humudity,Week_ending
57.9,29.485714285714284,159.67142857142858,148.4857142857143,999.9,19.0,5.814285714285715,1.9,0,1,1.766992341412854,2014-01-11
57.9,42.28571428571429,432.54285714285714,433.7857142857143,999.9,999.9,431.3285714285715,0.85,0,2,2.0460351714732536,2014-01-18
44.6,22.17142857142857,999.0857142857142,857.8142857142857,999.9,999.9,857.9428571428571,0.55,0,3,1.4932439202504482,2014-01-25
44.1,26.057142857142857,13.871428571428572,9.72857142857143,999.9,15.0,5.085714285714286,0.08,0,4,1.331332223943317,2014-02-01
55.9,31.642857142857142,15.928571428571429,6.985714285714286,999.9,13.0,4.542857142857143,3.5699999999999994,0,5,1.8870237142658841,2014-02-08
39.9,27.457142857142856,153.21428571428572,7.685714285714285,999.9,19.0,6.542857142857143,2.48,0,6,1.6862791642218293,2014-02-15
54.0,35.55714285714286,11.542857142857143,7.914285714285714,28.0,14.0,5.528571428571428,0.67,0,7,1.762897384242784,2014-02-22
54.0,30.228571428571428,11.514285714285714,9.799999999999999,34.0,14.0,5.6,0.03,0,8,1.3433626505440508,2014-03-01
57.0,30.157142857142862,17.97142857142857,9.785714285714286,999.9,12.0,5.242857142857142,0.04,0,9,1.4632763933194244,2014-03-08
66.0,42.699999999999996,430.88571428571424,9.457142857142856,31.1,17.1,5.985714285714286,0.35,0,10,1.5430638490676158,2014-03-15
63.0,39.471428571428575,12.142857142857142,9.428571428571429,24.1,15.0,6.728571428571429,0.92,0,11,1.5085591776769758,2014-03-22
63.0,37.65714285714286,13.942857142857145,9.585714285714285,28.9,18.1,6.42857142857143,0.04,0,12,1.5230347519537484,2014-03-29
66.9,46.67142857142857,151.22857142857143,8.714285714285715,999.9,20.0,6.014285714285713,2.5999999999999996,0,13,1.994982290914903,2014-04-05
75.0,52.9,152.52857142857144,8.928571428571429,22.9,14.0,5.142857142857143,1.2,0,14,1.711652368287422,2014-04-12
77.0,51.88571428571429,17.614285714285717,9.414285714285715,26.0,15.0,5.9,0.81,0,15,1.9027489999977223,2014-04-19
71.1,53.557142857142864,151.41428571428568,9.757142857142856,999.9,13.0,5.485714285714287,0.9,0,16,1.6751538171355629,2014-04-26
78.1,55.15714285714286,11.085714285714287,8.314285714285715,999.9,13.0,5.071428571428571,5.29,0,17,1.9921837612305051,2014-05-03
82.9,59.271428571428565,10.385714285714286,7.471428571428572,999.9,13.0,4.114285714285715,0.5900000000000001,0,18,1.9965056693771923,2014-05-10
84.9,65.88571428571429,13.785714285714283,8.12857142857143,999.9,14.0,4.385714285714285,2.13,0,19,2.2331823020163504,2014-05-17
78.1,63.01428571428571,11.142857142857144,8.157142857142857,999.9,11.1,3.314285714285714,1.23,0,20,2.0427800765624196,2014-05-24
86.0,66.3,12.314285714285715,9.571428571428571,999.9,11.1,3.9,0.32,0,21,2.080577435908729,2014-05-31
87.1,69.62857142857143,9.842857142857143,8.814285714285713,999.9,9.9,3.471428571428571,1.04,0,22,2.1236246497932574,2014-06-07
86.0,68.87142857142857,9.142857142857142,6.685714285714285,999.9,11.1,3.8285714285714283,2.9699999999999998,0,23,2.532295314461462,2014-06-14
