Mortality_Num,Max_Tem
5362,66.0
5502,73.0
5326,69.1
5184,66.0
5176,59.0
5075,66.9
4933,69.1
4741,71.1
4743,68.0
4858,75.9
4827,75.9
4723,71.1
4735,64.0
4805,82.0
4635,73.0
4578,79.0
4717,90.0
4646,68.0
4575,91.9
4450,71.1
4581,78.1
4579,72.0
4507,87.1
4490,86.0
4393,75.0
4633,82.0
4452,75.9
4472,81.0
4442,90.0
4502,77.0
4331,77.0
4516,79.0
4448,77.0
4270,80.1
4554,82.9
4537,82.0
4518,82.0
4396,80.1
4561,95.0
4600,91.9
4484,91.0
4521,79.0
4564,80.1
4665,75.9
4726,75.0
4837,66.0
4840,68.0
4862,66.9
4943,68.0
4883,63.0
5227,68.0
5364,57.9
5803,63.0
5814,64.0
5564,66.9
5669,73.9
5485,73.9
5559,73.0
5414,75.0
5197,66.9
5394,73.0
5274,75.9
5212,82.9
4840,79.0
4744,73.9
5065,69.1
4988,80.1
5032,68.0
5016,88.0
4788,68.0
4740,64.9
4713,66.9
4951,64.9
4783,73.9
4790,84.0
4767,77.0
4663,75.9
4708,79.0
4403,77.0
4638,79.0
4615,88.0
4726,87.1
4534,75.9
4558,91.9
4631,91.9
4720,93.0
4618,77.0
4813,91.9
4693,84.9
4593,93.0
4546,75.9
4753,80.1
4804,87.1
4556,79.0
4637,78.1
4753,73.0
4990,66.9
5231,68.0
5044,68.0
5169,59.0
5298,64.9
5293,59.0
5405,59.0
5518,54.0
5754,57.9
5606,61.0
5364,62.1
5218,61.0
5369,63.0
5577,73.0
5587,75.0
5491,70.0
5518,70.0
5279,64.9
5469,75.9
5237,66.9
5155,66.9
5179,86.0
5147,79.0
4908,82.9
4884,71.1
4949,80.1
4808,71.1
4679,87.1
4762,79.0
4814,87.1
4583,80.1
4589,80.1
4802,84.0
4841,77.0
4574,73.9
4575,77.0
4718,73.0
4701,81.0
4714,75.9
4514,75.9
4584,73.0
4726,73.0
4680,73.0
4678,88.0
4708,73.9
4793,88.0
4798,93.9
4844,84.0
4871,84.2
4836,78.1
4887,72.0
4772,72.0
4870,75.0
4812,70.0
4955,61.0
5273,62.1
5503,63.0
5344,62.1
5529,62.1
5767,57.9
6043,62.1
6237,64.0
5941,57.9
5721,57.9
5937,62.1
5695,64.0
5597,66.0
5330,61.0
5519,66.0
5411,66.9
5351,77.0
5131,69.1
5140,78.1
5169,78.1
5101,66.9
5048,73.9
5245,77.0
5209,87.1
4872,75.0
5041,87.1
4821,87.1
4869,71.1
4831,73.9
4885,77.0
5128,97.0
4830,73.0
4881,81.0
4717,84.9
4758,84.9
4613,80.1
4804,80.1
4664,73.0
4594,75.9
4485,81.0
4988,104.0
4966,104.0
4686,91.9
4732,77.0
4978,88.0
4783,84.0
4909,79.0
4972,82.9
4941,91.0
4903,68.0
4871,68.0
4818,66.9
5033,69.1
4930,68.0
5251,66.0
5441,64.9
5757,64.0
6529,57.9
7009,64.0
6829,60.1
6307,60.1
5823,60.8
5938,75.9
5544,75.9
5592,66.9
5657,66.9
5707,59.0
5895,70.0
5657,70.0
5463,64.9
5349,81.0
5258,66.9
5067,75.0
4969,75.0
5113,75.9
4945,69.1
4922,75.9
4666,75.9
4825,66.9
4921,84.9
5017,84.9
4773,77.0
4848,88.0
4731,91.9
4784,98.1
4956,84.9
4705,82.9
4758,75.0
4686,73.0
4770,79.0
4777,73.9
4740,72.0
4668,73.9
4614,73.0
4655,77.0
4822,84.9
4788,73.0
4745,75.0
4703,79.0
4818,81.0
4857,73.0
4899,82.0
5027,79.0
5028,66.9
5251,63.0
5049,64.0
5329,60.1
5248,62.1
5278,62.1
5365,60.1
5668,63.0
5749,66.0
5630,64.9
5503,64.9
5441,68.0
5575,59.0
5628,64.9
5797,57.0
5847,59.0
5651,60.1
5575,69.1
5507,72.0
5492,64.9
5458,70.0
5191,71.1
5175,78.1
5067,88.0
5007,71.1
4993,69.1
5044,66.0
5107,71.1
5007,73.0
5090,81.0
5160,100.0
4894,81.0
4833,81.0
4891,73.0
4794,73.0
4692,78.1
4970,82.9
4611,79.0
4747,77.0
4687,93.9
4749,79.0
4787,84.0
4828,84.0
4827,93.9
4776,84.9
4812,96.1
4944,80.1
4892,87.1
5045,75.0
5080,89.1
5114,73.9
5284,73.9
5092,72.0
5139,73.9
5149,66.9
5500,66.0
5361,66.0
5375,62.1
5540,62.1
