Mortality_Num,Max_Tem
1958,57.9
2012,57.9
1955,44.6
1964,44.1
2061,55.9
1913,39.9
2035,54.0
1989,54.0
1931,57.0
1893,66.0
1868,63.0
1892,63.0
1854,66.9
1870,75.0
1904,77.0
1841,71.1
1897,78.1
1822,82.9
1863,84.9
1698,78.1
1649,86.0
1731,87.1
1773,86.0
1645,89.1
1747,87.1
1765,91.0
1678,91.0
1721,86.0
1739,88.0
1700,84.9
1695,90.0
1627,88.0
1690,84.0
1630,90.0
1738,91.9
1621,91.0
1660,75.9
1772,82.9
1807,84.0
1758,73.0
1820,77.0
1849,66.9
1810,72.0
1872,68.0
1873,64.9
1883,52.0
1927,69.1
1910,64.9
1955,50.0
1913,54.0
1954,62.6
2038,55.0
2142,55.9
2244,43.0
2233,42.8
2123,42.1
2119,43.0
2160,39.9
2136,33.1
2141,43.0
2042,45.0
2150,59.0
2080,57.0
1994,62.1
2000,66.9
2024,63.0
1930,80.1
1992,80.1
1921,78.1
1847,84.9
1850,86.0
1851,82.9
1812,88.0
1797,87.1
1788,89.1
1799,88.0
1688,90.0
1709,82.0
1706,88.0
1766,89.1
1795,93.9
1759,96.1
1789,90.0
1667,91.9
1760,95.0
1723,90.0
1706,93.0
1790,97.0
1804,89.1
1711,82.9
1751,82.9
1748,78.1
1968,77.0
1819,75.9
1894,73.0
1849,73.9
1854,61.0
1791,66.9
1784,64.0
1804,64.0
1853,66.0
1901,68.0
1824,72.0
1801,61.0
1791,46.4
1987,59.0
2037,52.0
2008,48.0
2085,59.0
2042,46.9
1876,61.0
1997,61.0
1980,61.0
1971,79.0
2082,64.9
1886,72.0
1991,79.0
1968,57.9
1961,68.0
1937,82.0
1941,71.1
1851,64.9
1889,80.1
1755,75.9
1793,90.0
1889,91.9
1670,88.0
1694,88.0
1891,88.0
1780,87.1
1748,91.0
1839,90.0
1723,96.1
1723,96.1
1817,87.1
1751,96.1
1803,96.1
1739,89.6
1740,91.0
1738,91.0
1814,91.0
1756,87.1
1833,73.9
1829,75.0
1854,68.0
1878,84.9
1922,62.1
1910,75.0
1922,66.0
1968,64.0
1898,63.0
1914,60.1
1936,48.9
1911,46.0
1982,57.9
2055,60.1
2012,52.0
2162,66.0
2112,48.9
2048,54.0
2163,46.9
2031,62.1
2125,63.0
2040,70.0
2074,70.0
1968,61.0
2030,46.9
2011,62.1
2042,60.1
1941,64.9
1855,80.1
1998,87.1
1872,84.9
1966,84.9
1864,70.0
1795,91.9
1911,73.0
1831,79.0
1777,84.9
1867,93.9
1853,88.0
1833,88.0
1809,88.0
1797,90.0
1759,93.9
1779,91.9
1732,91.9
1774,84.9
1691,87.1
1762,89.1
1784,81.0
1812,84.9
1814,82.9
1787,87.1
1826,91.0
1785,82.9
1827,81.0
1823,78.1
1819,78.1
1853,73.9
1822,68.0
1908,57.0
1939,59.0
2011,63.0
2012,61.0
1965,50.0
2036,55.0
2180,48.0
2096,30.0
2283,61.0
2445,52.0
2237,60.1
2161,55.9
2136,50.0
2197,62.1
2124,78.1
2123,61.0
2081,48.9
2013,48.0
1947,51.1
1995,62.1
1959,62.1
1950,82.0
1965,63.0
1998,70.0
1889,91.9
1899,77.0
1789,88.0
1681,89.1
1809,89.1
1742,87.1
1833,84.9
1821,91.0
1853,93.0
1791,96.1
1870,93.0
1836,90.0
1811,86.0
1816,86.0
1755,91.9
1749,88.0
1818,84.9
1814,93.9
1750,93.0
1697,79.0
1747,82.9
1764,82.0
1840,77.0
1856,80.1
1883,68.0
1965,63.0
2003,72.0
1939,64.9
1924,50.0
1877,50.0
1943,55.0
1973,55.9
1955,52.0
1958,61.0
2005,60.8
2032,57.9
2061,48.9
2049,39.0
2061,59.0
2162,48.9
2025,64.9
2048,59.0
2018,52.0
2069,46.9
2018,48.9
2184,75.0
2028,57.9
2019,70.0
2011,70.0
2006,79.0
1950,80.1
1925,77.0
1852,78.1
1954,73.9
1811,75.9
1883,84.9
1937,86.0
1735,82.9
1789,81.0
1862,81.0
1790,91.0
1903,91.0
1860,90.0
1754,95.0
1890,95.0
1755,91.9
1820,87.1
1889,87.1
1832,90.0
1715,86.0
1780,87.1
1841,88.0
1743,84.0
1781,89.1
1873,93.0
1869,79.0
1901,72.0
1940,66.9
1847,71.1
1944,61.0
1945,62.1
1978,53.1
1973,61.0
1962,50.0
2036,57.9
1960,55.9
1992,57.0
