Mortality_Num,Max_Tem
4170,73.9
4217,73.9
4077,77.0
3936,73.0
3921,73.0
3859,78.1
3875,80.1
3724,82.9
3728,82.9
3802,75.0
3754,81.0
3621,84.9
3591,84.0
3586,82.9
3491,82.9
3452,88.0
3472,91.9
3487,88.0
3532,87.1
3504,88.0
3427,88.0
3279,93.0
3436,93.9
3335,93.0
3363,91.9
3377,93.9
3399,95.0
3253,96.1
3299,96.1
3291,99.0
3329,97.0
3346,98.1
3336,98.1
3255,98.1
3326,95.0
3332,97.0
3369,91.9
3350,93.0
3339,93.0
3367,91.0
3394,87.1
3353,86.0
3504,86.0
3381,82.0
3522,80.1
3519,75.9
3835,80.1
3762,80.1
3887,75.0
3831,80.1
3782,73.9
3942,54.0
4223,64.9
4439,69.1
4439,75.9
4276,81.0
4048,77.0
3998,82.9
3944,78.1
3850,80.1
3935,82.9
3969,77.0
3931,82.0
3928,82.0
3767,84.0
3706,87.1
3676,86.0
3720,88.0
3606,84.9
3649,87.1
3706,89.1
3552,89.1
3523,91.0
3587,93.0
3606,93.9
3561,90.0
3465,93.9
3423,93.9
3459,93.9
3500,97.0
3567,99.0
3504,100.9
3434,100.0
3543,106.0
3394,99.0
3409,98.1
3384,91.9
3410,96.1
3352,91.9
3446,93.9
3453,93.9
3447,91.0
3539,95.0
3430,86.0
3543,86.0
3451,82.9
3581,84.0
3549,80.1
3748,77.0
3594,66.0
3649,81.0
3953,77.0
3836,82.9
3922,80.1
3722,69.1
4053,72.0
3820,73.9
3823,75.0
3837,79.0
3877,80.1
4028,81.0
3965,79.0
3834,84.0
3934,75.9
3835,87.1
3769,75.9
3832,84.9
3845,84.9
3826,80.1
3701,81.0
3675,86.0
3702,84.9
3649,89.1
3634,82.9
3637,89.1
3684,89.1
3492,93.0
3692,97.0
3702,97.0
3614,97.0
3572,98.1
3596,99.0
3508,100.0
3524,100.0
3651,99.0
3522,100.9
3541,97.0
3571,95.0
3586,97.0
3624,93.9
3604,96.1
3599,97.0
3507,90.0
3414,91.0
3609,90.0
3628,93.0
3572,87.1
3706,88.0
3662,82.9
3705,84.0
3716,82.0
3722,84.0
3826,70.0
3729,81.0
3912,99.9
4071,84.0
3998,75.9
4018,81.0
4281,80.1
4051,80.1
4055,81.0
4079,87.1
4181,86.0
4106,84.0
4152,84.0
4079,81.0
4152,84.0
3948,86.0
3929,87.1
3946,88.0
3760,84.0
3740,88.0
3686,91.0
3797,88.0
3722,87.1
3710,91.0
3744,93.0
3616,93.0
3644,93.0
3592,96.1
3679,96.1
3699,93.9
3595,96.1
3678,96.1
3391,97.0
3502,100.0
3634,100.0
3664,97.0
3600,99.0
3504,98.1
3646,93.0
3621,93.0
3658,93.0
3677,93.0
3612,93.0
3620,91.0
3764,93.9
3810,91.9
3801,82.9
3863,88.0
4000,89.1
3857,86.0
3820,84.0
3892,81.0
3977,81.0
3977,75.0
4097,81.0
4602,68.0
4397,66.0
5053,69.1
5077,72.0
4972,75.0
4698,79.0
4552,75.0
4447,81.0
4355,81.0
4127,82.9
4136,82.0
4126,84.9
3945,84.9
3860,84.9
3765,84.9
3755,84.0
3866,84.0
3810,86.0
3747,87.1
3821,91.0
3706,96.1
3739,93.9
3598,96.1
3721,98.1
3723,97.0
3657,96.1
3599,96.1
3686,97.0
3461,96.1
3666,99.0
3680,100.9
3657,100.0
3699,96.1
3623,97.0
3706,100.0
3792,97.0
3561,93.0
3544,93.0
3633,96.1
3662,89.1
3598,91.0
3731,91.0
3687,91.0
3716,82.0
3765,86.0
3776,89.1
3888,73.0
3988,78.1
3995,81.0
4007,80.1
4003,75.0
4071,75.9
4194,75.9
4137,72.0
4270,79.0
4277,71.1
4160,73.0
4089,72.0
4185,82.0
4123,79.0
4189,79.0
4119,79.0
3998,82.0
4264,84.0
4191,81.0
4178,87.1
3954,84.0
3901,91.0
3959,84.9
3909,86.0
3826,88.0
3829,89.1
3739,87.1
3766,93.0
3790,95.0
3803,96.1
3909,97.0
3686,96.1
3786,93.9
3727,96.1
3834,97.0
3779,96.1
3666,96.1
3684,97.0
3826,100.9
3787,102.9
3732,99.0
3692,98.1
3682,100.0
3775,99.0
3733,98.1
3557,91.9
3791,93.0
3844,93.0
3861,91.9
3944,90.0
3916,78.1
4018,82.9
4049,75.9
4027,80.1
4215,82.0
4112,81.0
4077,84.0
4289,84.0
4271,78.1
