Mortality_Num,Max_Tem
3591,84.9
3855,84.0
3770,75.9
3827,82.0
3814,84.0
3912,84.0
3740,84.9
3808,86.0
3663,86.0
3797,87.1
3586,88.0
3821,90.0
3602,84.0
3666,90.0
3503,89.1
3602,89.1
3617,90.0
3562,90.0
3573,88.0
3437,91.9
3592,91.0
3425,91.9
3491,91.9
3542,91.0
3421,91.9
3485,93.0
3376,91.9
3391,95.0
3492,91.9
3434,95.0
3393,93.9
3346,93.0
3427,93.9
3360,93.9
3339,91.9
3318,90.0
3356,91.9
3356,90.0
3334,93.9
3282,91.0
3460,89.6
3429,86.0
3381,87.1
3501,84.0
3646,84.0
3615,87.1
3672,88.0
3707,82.0
3816,81.0
3805,80.1
3994,84.0
4009,82.9
4135,84.0
4068,80.1
4093,82.0
4062,78.1
3987,84.9
4145,79.0
4049,82.9
4128,87.1
4204,84.9
3967,87.1
3981,87.1
3995,91.0
3858,84.9
3934,86.0
3704,90.0
3794,91.9
3667,96.1
3617,89.1
3809,89.1
3777,93.9
3542,90.0
3602,88.0
3502,90.0
3565,91.9
3602,91.9
3536,95.0
3480,91.9
3584,93.0
3463,95.0
3530,96.1
3452,93.0
3529,93.9
3468,93.0
3502,93.0
3409,93.9
3486,91.9
3476,91.9
3495,93.0
3615,91.9
3464,90.0
3570,90.0
3487,86.0
3580,89.1
3494,88.0
3607,89.1
3488,86.0
3608,84.9
3575,84.0
3667,82.9
3707,84.9
3687,84.0
3807,84.0
3726,84.0
3865,84.0
3898,79.0
4023,82.0
4017,81.0
4081,79.0
4180,80.1
4086,86.0
4165,84.9
4190,84.0
4271,89.1
4161,88.0
4066,91.0
3956,91.0
4017,87.1
3839,89.1
3852,89.1
3747,90.0
3764,90.0
3763,93.0
3672,93.0
3652,90.0
3685,91.9
3521,95.0
3703,95.0
3511,91.0
3570,91.9
3627,93.0
3719,91.9
3648,93.0
3565,93.0
3611,91.9
3626,93.0
3556,93.9
3539,93.0
3642,91.0
3585,91.9
3544,91.9
3583,91.9
3597,91.9
3613,91.9
3627,88.0
3788,86.0
3599,84.9
3717,82.9
3800,82.0
3789,82.0
3920,84.0
3934,87.1
3847,87.1
3870,87.1
3803,84.9
3901,87.1
4109,82.0
4286,84.0
4194,87.1
4004,82.0
4303,87.1
4110,84.0
4260,86.0
4315,86.0
4102,86.0
4268,82.9
4027,85.1
4316,88.0
4097,91.0
4077,84.0
4051,84.0
3916,89.1
3902,88.0
3862,93.0
3797,93.0
3790,95.0
3733,98.1
3811,91.9
3745,91.0
3592,91.0
3782,91.9
3741,93.0
3732,93.0
3646,93.0
3653,93.9
3614,93.9
3663,93.0
3826,95.0
3795,93.9
3601,93.9
3558,93.9
3767,91.9
3838,93.9
3905,91.0
3802,91.0
3875,91.0
3786,90.0
3759,88.0
3816,86.0
3940,87.1
3850,87.1
3899,84.9
3879,84.0
3957,87.1
3873,81.0
4155,84.9
4238,84.0
4173,80.1
4416,84.0
4642,77.0
4659,84.0
4628,84.0
4676,84.0
4623,84.9
4447,84.2
4195,88.0
4193,82.9
4107,87.1
4283,89.1
4151,84.0
4098,88.0
4116,91.0
3985,88.0
3974,91.0
3862,86.0
3929,88.0
3828,87.1
3772,86.0
3650,89.1
3875,93.9
3898,89.1
3769,93.9
3775,91.9
3690,91.0
3986,93.0
3646,93.9
3674,93.9
3595,93.0
3665,93.9
3694,91.0
3540,91.0
3596,90.0
3672,89.1
3649,91.9
3855,91.0
3717,91.0
3730,90.0
3738,90.0
3750,90.0
3683,91.0
3855,88.0
3726,88.0
3780,88.0
3912,84.0
3841,84.9
3899,87.1
4122,84.0
4110,82.9
3937,82.9
4144,84.0
4172,82.0
4154,80.1
4155,84.0
4145,81.0
4299,82.9
4288,82.0
4242,84.9
4126,84.9
4254,89.1
4117,86.0
4156,86.0
4150,86.0
4328,89.1
4191,86.0
4229,90.0
4066,90.0
4100,88.0
4027,91.0
4098,95.0
4072,90.0
3908,93.0
3937,96.1
3960,93.9
3836,95.0
3916,98.1
3831,98.1
3867,93.0
3879,93.0
3759,102.0
3840,93.9
3872,95.0
3673,93.9
3631,93.0
3755,96.1
3689,96.1
3695,93.9
3691,95.0
3768,91.0
3719,91.0
3800,91.0
3832,91.9
3730,91.9
3704,91.0
3858,89.1
3967,88.0
4045,82.9
4025,86.0
4007,84.9
4189,87.1
4293,87.1
4102,82.9
