Max_Tem,Week_ending,,,,,,,,
84.9,2014/1/11,,,,,,,,
84,2014/1/18,,,,,,,,
75.9,2014/1/25,,,,,,,,
82,2014/2/1,,,,,,,,
84,2014/2/8,,,,,,,,
84,2014/2/15,,,,,,,,
84.9,2014/2/22,,,,,,,,
86,2014/3/1,,,,,,,,
86,2014/3/8,,,,,,,,
87.1,2014/3/15,,,,,,,,
88,2014/3/22,,,,,,,,
90,2014/3/29,,,,,,,,
84,2014/4/5,,,,,,,,
90,2014/4/12,,,,,,,,
89.1,2014/4/19,,,,,,,,
89.1,2014/4/26,,,,,,,,
90,2014/5/3,,,,,,,,
90,2014/5/10,,,,,,,,
88,2014/5/17,,,,,,,,
91.9,2014/5/24,,,,,,,,
91,2014/5/31,,,,,,,,
91.9,2014/6/7,,,,,,,,
91.9,2014/6/14,,,,,,,,
91,2014/6/21,,,,,,,,
91.9,2014/6/28,,,,,,,,
93,2014/7/5,,,,,,,,
91.9,2014/7/12,,,,,,,,
95,2014/7/19,,,,,,,,
91.9,2014/7/26,,,,,,,,
95,2014/8/2,,,,,,,,
93.9,2014/8/9,,,,,,,,
93,2014/8/16,,,,,,,,
93.9,2014/8/23,,,,,,,,
93.9,2014/8/30,,,,,,,,
91.9,2014/9/6,,,,,,,,
90,2014/9/13,,,,,,,,
91.9,2014/9/20,,,,,,,,
90,2014/9/27,,,,,,,,
93.9,2014/10/4,,,,,,,,
91,2014/10/11,,,,,,,,
89.6,2014/10/18,,,,,,,,
86,2014/10/25,,,,,,,,
87.1,2014/11/1,,,,,,,,
84,2014/11/8,,,,,,,,
84,2014/11/15,,,,,,,,
87.1,2014/11/22,,,,,,,,
88,2014/11/29,,,,,,,,
82,2014/12/6,,,,,,,,
81,2014/12/13,,,,,,,,
80.1,2014/12/20,,,,,,,,
84,2014/12/27,,,,,,,,
82.9,2015/1/3,,,,,,,,
84,2015/1/10,,,,,,,,
80.1,2015/1/17,,,,,,,,
82,2015/1/24,,,,,,,,
78.1,2015/1/31,,,,,,,,
84.9,2015/2/7,,,,,,,,
79,2015/2/14,,,,,,,,
82.9,2015/2/21,,,,,,,,
87.1,2015/2/28,,,,,,,,
84.9,2015/3/7,,,,,,,,
87.1,2015/3/14,,,,,,,,
87.1,2015/3/21,,,,,,,,
91,2015/3/28,,,,,,,,
84.9,2015/4/4,,,,,,,,
86,2015/4/11,,,,,,,,
90,2015/4/18,,,,,,,,
91.9,2015/4/25,,,,,,,,
96.1,2015/5/2,,,,,,,,
89.1,2015/5/9,,,,,,,,
89.1,2015/5/16,,,,,,,,
93.9,2015/5/23,,,,,,,,
90,2015/5/30,,,,,,,,
88,2015/6/6,,,,,,,,
90,2015/6/13,,,,,,,,
91.9,2015/6/20,,,,,,,,
91.9,2015/6/27,,,,,,,,
95,2015/7/4,,,,,,,,
91.9,2015/7/11,,,,,,,,
93,2015/7/18,,,,,,,,
95,2015/7/25,,,,,,,,
96.1,2015/8/1,,,,,,,,
93,2015/8/8,,,,,,,,
93.9,2015/8/15,,,,,,,,
93,2015/8/22,,,,,,,,
93,2015/8/29,,,,,,,,
93.9,2015/9/5,,,,,,,,
91.9,2015/9/12,,,,,,,,
91.9,2015/9/19,,,,,,,,
93,2015/9/26,,,,,,,,
91.9,2015/10/3,,,,,,,,
90,2015/10/10,,,,,,,,
90,2015/10/17,,,,,,,,
86,2015/10/24,,,,,,,,
89.1,2015/10/31,,,,,,,,
88,2015/11/7,,,,,,,,
89.1,2015/11/14,,,,,,,,
86,2015/11/21,,,,,,,,
84.9,2015/11/28,,,,,,,,
84,2015/12/5,,,,,,,,
82.9,2015/12/12,,,,,,,,
84.9,2015/12/19,,,,,,,,
84,2015/12/26,,,,,,,,
84,2016/1/2,,,,,,,,
84,2016/1/9,,,,,,,,
84,2016/1/16,,,,,,,,
79,2016/1/23,,,,,,,,
82,2016/1/30,,,,,,,,
81,2016/2/6,,,,,,,,
79,2016/2/13,,,,,,,,
80.1,2016/2/20,,,,,,,,
86,2016/2/27,,,,,,,,
84.9,2016/3/5,,,,,,,,
84,2016/3/12,,,,,,,,
89.1,2016/3/19,,,,,,,,
88,2016/3/26,,,,,,,,
91,2016/4/2,,,,,,,,
91,2016/4/9,,,,,,,,
87.1,2016/4/16,,,,,,,,
89.1,2016/4/23,,,,,,,,
89.1,2016/4/30,,,,,,,,
90,2016/5/7,,,,,,,,
90,2016/5/14,,,,,,,,
93,2016/5/21,,,,,,,,
93,2016/5/28,,,,,,,,
90,2016/6/4,,,,,,,,
91.9,2016/6/11,,,,,,,,
95,2016/6/18,,,,,,,,
95,2016/6/25,,,,,,,,
91,2016/7/2,,,,,,,,
91.9,2016/7/9,,,,,,,,
93,2016/7/16,,,,,,,,
91.9,2016/7/23,,,,,,,,
93,2016/7/30,,,,,,,,
93,2016/8/6,,,,,,,,
91.9,2016/8/13,,,,,,,,
93,2016/8/20,,,,,,,,
93.9,2016/8/27,,,,,,,,
93,2016/9/3,,,,,,,,
91,2016/9/10,,,,,,,,
91.9,2016/9/17,,,,,,,,
91.9,2016/9/24,,,,,,,,
91.9,2016/10/1,,,,,,,,
91.9,2016/10/8,,,,,,,,
91.9,2016/10/15,,,,,,,,
88,2016/10/22,,,,,,,,
86,2016/10/29,,,,,,,,
84.9,2016/11/5,,,,,,,,
82.9,2016/11/12,,,,,,,,
82,2016/11/19,,,,,,,,
82,2016/11/26,,,,,,,,
84,2016/12/3,,,,,,,,
87.1,2016/12/10,,,,,,,,
87.1,2016/12/17,,,,,,,,
87.1,2016/12/24,,,,,,,,
84.9,2016/12/31,,,,,,,,
